Geonames Feature Code,Geonames Label,Wikidata URI,Wikidata label,AAT ID,AAT label,description,Geonames Feature Class,Wikipedia Code
SHOR,shore,http://www.wikidata.org/entity/Q468756,shore,,,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively",T,T.SHOR
SINK,sinkhole,http://www.wikidata.org/entity/Q188734,ponor,http://vocab.getty.edu/aat/300343547,sinkholes,a small crater-shape depression in a karst area,T,T.SINK
SLID,slide,http://www.wikidata.org/entity/Q7540307,slide,,,"a mound of earth material, at the base of a slope and the associated scoured area",T,T.SLID
SLP,slope(s),,,,,a surface with a relatively uniform slope angle,T,T.SLP
SPIT,spit,http://www.wikidata.org/entity/Q217101,spit,http://vocab.getty.edu/aat/300386848,spits (landforms),"a narrow, straight or curved continuation of a beach into a waterbody",T,T.SPIT
SPUR,spur(s),http://www.wikidata.org/entity/Q1400565,spur,,,"a subordinate ridge projecting outward from a hill, mountain or other elevation",T,T.SPUR
TAL,talus slope,,,,,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope,T,T.TAL
TRGD,interdune trough(s),http://www.wikidata.org/entity/Q55711124,interdune trough,,,a long wind-swept trough between parallel longitudinal dunes,T,T.TRGD
TRR,terrace,http://www.wikidata.org/entity/Q828581,terrace,,,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody",T,T.TRR
UPLD,upland,http://www.wikidata.org/entity/Q55075651,upland,http://vocab.getty.edu/aat/300386856,uplands,an extensive interior region of high land with low to moderate surface relief,T,T.UPLD
VAL,valley,http://www.wikidata.org/entity/Q39816,valley,http://vocab.getty.edu/aat/300008761,valleys (landforms),an elongated depression usually traversed by a stream,T,T.VAL
VALG,hanging valley,http://www.wikidata.org/entity/Q1006357,hanging valley,http://vocab.getty.edu/aat/300386882,hanging valleys,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated,T,T.VALG
VALS,valleys,http://www.wikidata.org/entity/Q39816,valley,http://vocab.getty.edu/aat/300008761,valleys (landforms),elongated depressions usually traversed by a stream,T,T.VALS
VALX,section of valley,http://www.wikidata.org/entity/Q57208256,section of a valley,,,,T,T.VALX
VLC,volcano,http://www.wikidata.org/entity/Q8072,volcano,http://vocab.getty.edu/aat/300132325,volcanoes,a conical elevation composed of volcanic materials with a crater at the top,T,T.VLC
APNU,apron,,,,,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts",U,U.APNU
ARCU,arch,,,,,a low bulge around the southeastern end of the island of Hawaii,U,U.ARCU
ARRU,arrugado,,,,,an area of subdued corrugations off Baja California,U,U.ARRU
BDLU,borderland,,,,,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf",U,U.BDLU
BKSU,banks,http://www.wikidata.org/entity/Q2897058,bank,http://vocab.getty.edu/aat/300008733,shores (landforms),"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U,U.BKSU
BNKU,bank,http://www.wikidata.org/entity/Q2897058,bank,http://vocab.getty.edu/aat/300008733,shores (landforms),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U,U.BNKU
BSNU,basin,http://www.wikidata.org/entity/Q813672,basin,,,a depression more or less equidimensional in plan and of variable extent,U,U.BSNU
CDAU,cordillera,http://www.wikidata.org/entity/Q2751984,cordillera,,,"an entire mountain system including the subordinate ranges, interior plateaus, and basins",U,U.CDAU
CNSU,canyons,http://www.wikidata.org/entity/Q150784,canyon,http://vocab.getty.edu/aat/300008763,canyons,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope",U,U.CNSU
CNYU,canyon,http://www.wikidata.org/entity/Q963729,submarine canyon,http://vocab.getty.edu/aat/300386929,undersea canyons,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope",U,U.CNYU
CRSU,continental rise,http://www.wikidata.org/entity/Q332602,continental rise,http://vocab.getty.edu/aat/300386893,continental rises,a gentle slope rising from oceanic depths towards the foot of a continental slope,U,U.CRSU
DEPU,deep,,,,,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench",U,U.DEPU
EDGU,shelf edge,,,,,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf,U,U.EDGU
ESCU,escarpment (or scarp),http://www.wikidata.org/entity/Q1174791,escarpment,,,an elongated and comparatively steep slope separating flat or gently sloping areas,U,U.ESCU
FANU,fan,,,,,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system,U,U.FANU
FLTU,flat,http://www.wikidata.org/entity/Q18389975,flat,,,a small level or nearly level area,U,U.FLTU
FRZU,fracture zone,http://www.wikidata.org/entity/Q5477586,fracture zone,,,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments",U,U.FRZU
FURU,furrow,http://www.wikidata.org/entity/Q1474839,furrow,,,"a closed, linear, narrow, shallow depression",U,U.FURU
GAPU,gap,http://www.wikidata.org/entity/Q16887036,gap,http://vocab.getty.edu/aat/300386834,gaps,a narrow break in a ridge or rise,U,U.GAPU
GLYU,gully,http://www.wikidata.org/entity/Q1361400,gully,http://vocab.getty.edu/aat/300008769,gullies,a small valley-like feature,U,U.GLYU
HLLU,hill,http://www.wikidata.org/entity/Q47781632,undersea hill,http://vocab.getty.edu/aat/300386906,undersea hills,an elevation rising generally less than 500 meters,U,U.HLLU
HLSU,hills,http://www.wikidata.org/entity/Q54050,hill,http://vocab.getty.edu/aat/300008777,hills,elevations rising generally less than 500 meters,U,U.HLSU
HOLU,hole,http://www.wikidata.org/entity/Q55471289,undersea hole,http://vocab.getty.edu/aat/300386933,undersea holes,a small depression of the sea floor,U,U.HOLU
KNLU,knoll,http://www.wikidata.org/entity/Q55182635,undersea knoll,http://vocab.getty.edu/aat/300386905,undersea knolls,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit",U,U.KNLU
KNSU,knolls,http://www.wikidata.org/entity/Q3294251,hillock,http://vocab.getty.edu/aat/300008781,hillocks,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits",U,U.KNSU
LDGU,ledge,http://www.wikidata.org/entity/Q55670187,undersea ledge,http://vocab.getty.edu/aat/300386918,undersea ledges,"a rocky projection or outcrop, commonly linear and near shore",U,U.LDGU
LEVU,levee,http://www.wikidata.org/entity/Q55670193,undersea levee,http://vocab.getty.edu/aat/300386936,undersea levees,"an embankment bordering a canyon, valley, or seachannel",U,U.LEVU
MESU,mesa,http://www.wikidata.org/entity/Q623319,mesa,http://vocab.getty.edu/aat/300008811,mesas (landforms),"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides",U,U.MESU
MNDU,mound,http://www.wikidata.org/entity/Q1584134,mound,,,"a low, isolated, rounded hill",U,U.MNDU
MOTU,moat,http://www.wikidata.org/entity/Q88480,moat,http://vocab.getty.edu/aat/300003716,moats,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations",U,U.MOTU
MTU,mountain,http://www.wikidata.org/entity/Q8502,mountain,http://vocab.getty.edu/aat/300008795,mountains,a well-delineated subdivision of a large and complex positive feature,U,U.MTU
PKSU,peaks,http://www.wikidata.org/entity/Q207326,summit,http://vocab.getty.edu/aat/300008798,peaks (landforms),"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit",U,U.PKSU
PKU,peak,http://www.wikidata.org/entity/Q207326,summit,http://vocab.getty.edu/aat/300008798,peaks (landforms),"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit",U,U.PKU
PLNU,plain,http://www.wikidata.org/entity/Q160091,plain,http://vocab.getty.edu/aat/300008805,plains (landforms),"a flat, gently sloping or nearly level region",U,U.PLNU
PLTU,plateau,http://www.wikidata.org/entity/Q75520,plateau,http://vocab.getty.edu/aat/300132339,plateaus (landforms),"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides",U,U.PLTU
PNLU,pinnacle,http://www.wikidata.org/entity/Q683031,Pinnacle,,,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit",U,U.PNLU
PRVU,province,http://www.wikidata.org/entity/Q2140450,geologic province,,,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas,U,U.PRVU
RDGU,ridge,http://www.wikidata.org/entity/Q740445,undersea ridge,http://vocab.getty.edu/aat/300266640,ridges (landforms),a long narrow elevation with steep sides,U,U.RDGU
RDSU,ridges,http://www.wikidata.org/entity/Q740445,ridge,http://vocab.getty.edu/aat/300266640,ridges (landforms),long narrow elevations with steep sides,U,U.RDSU
RFSU,reefs,,,,,surface-navigation hazards composed of consolidated material,U,U.RFSU
RFU,reef,http://www.wikidata.org/entity/Q184358,reef,http://vocab.getty.edu/aat/300008808,reefs,a surface-navigation hazard composed of consolidated material,U,U.RFU
RISU,rise,,,,,"a broad elevation that rises gently, and generally smoothly, from the sea floor",U,U.RISU
SCNU,seachannel,http://www.wikidata.org/entity/Q4054763,abyssal channel,http://vocab.getty.edu/aat/300386934,undersea channels,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides",U,U.SCNU
SCSU,seachannels,,,,,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides",U,U.SCSU
SDLU,saddle,http://www.wikidata.org/entity/Q10862618,saddle,,,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts",U,U.SDLU
SHFU,shelf,http://www.wikidata.org/entity/Q134851,continental shelf,http://vocab.getty.edu/aat/300387712,continental shelves,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths,U,U.SHFU
SHLU,shoal,http://www.wikidata.org/entity/Q28337,undersea shoal,http://vocab.getty.edu/aat/300387036,shoals (landforms),a surface-navigation hazard composed of unconsolidated material,U,U.SHLU
SHSU,shoals,http://www.wikidata.org/entity/Q28337,shoal,http://vocab.getty.edu/aat/300387036,shoals (landforms),hazards to surface navigation composed of unconsolidated material,U,U.SHSU
SHVU,shelf valley,,,,,"a valley on the shelf, generally the shoreward extension of a canyon",U,U.SHVU
SILU,sill,http://www.wikidata.org/entity/Q830230,sill,,,the low part of a gap or saddle separating basins,U,U.SILU
SLPU,slope,http://www.wikidata.org/entity/Q55471272,undersea slope,http://vocab.getty.edu/aat/300386897,undersea slopes,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope,U,U.SLPU
SMSU,seamounts,http://www.wikidata.org/entity/Q503269,seamount,http://vocab.getty.edu/aat/300386899,seamounts,"elevations rising generally more than 1,000 meters and of limited extent across the summit",U,U.SMSU
SMU,seamount,http://www.wikidata.org/entity/Q503269,seamount,http://vocab.getty.edu/aat/300386899,seamounts,"an elevation rising generally more than 1,000 meters and of limited extent across the summit",U,U.SMU
SPRU,spur,http://www.wikidata.org/entity/Q1400565,300386909,,,"a subordinate elevation, ridge, or rise projecting outward from a larger feature",U,U.SPRU
TERU,terrace,http://www.wikidata.org/entity/Q828581,terrace,,,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side",U,U.TERU
TMSU,tablemounts (or guyots),http://www.wikidata.org/entity/Q151957,guyot,,,"seamounts having a comparatively smooth, flat top",U,U.TMSU
TMTU,tablemount (or guyot),http://www.wikidata.org/entity/Q151957,guyot,,,"a seamount having a comparatively smooth, flat top",U,U.TMTU
TNGU,tongue,,,,,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature,U,U.TNGU
TRGU,trough,http://www.wikidata.org/entity/Q55193679,undersea trough,http://vocab.getty.edu/aat/300386938,undersea troughs,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench",U,U.TRGU
TRNU,trench,http://www.wikidata.org/entity/Q119253,oceanic trench,,,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides",U,U.TRNU
VALU,valley,http://www.wikidata.org/entity/Q39816,undersea valley,http://vocab.getty.edu/aat/300008761,valleys (landforms),"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U,U.VALU
VLSU,valleys,http://www.wikidata.org/entity/Q39816,valley,http://vocab.getty.edu/aat/300008761,valleys (landforms),"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U,U.VLSU
BUSH,bush(es),http://www.wikidata.org/entity/Q42295,shrub,http://vocab.getty.edu/aat/300132407,shrubs,a small clump of conspicuous bushes in an otherwise bare area,V,V.BUSH
CULT,cultivated area,,,,,an area under cultivation,V,V.CULT
FRST,forest(s),http://www.wikidata.org/entity/Q4421,forest,http://vocab.getty.edu/aat/300008863,forests (cultural landscapes),an area dominated by tree vegetation,V,V.FRST
FRSTF,fossilized forest,http://www.wikidata.org/entity/Q837117,petrified wood,,,a forest fossilized by geologic processes and now exposed at the earth's surface,V,V.FRSTF
GROVE,grove,,,,,"a small wooded area or collection of trees growing closely together, occurring naturally or deliberately planted",V,V.GROVE
GRSLD,grassland,http://www.wikidata.org/entity/Q1006733,grassland,http://vocab.getty.edu/aat/300008874,grasslands,an area dominated by grass vegetation,V,V.GRSLD
GRVC,coconut grove,http://www.wikidata.org/entity/Q16540674,Coconut plantations,,,a planting of coconut trees,V,V.GRVC
GRVO,olive grove,http://www.wikidata.org/entity/Q3350685,olive grove,,,a planting of olive trees,V,V.GRVO
GRVP,palm grove,,,,,a planting of palm trees,V,V.GRVP
GRVPN,pine grove,,,,,a planting of pine trees,V,V.GRVPN
HTH,heath,http://www.wikidata.org/entity/Q27590,heath,http://vocab.getty.edu/aat/300386887,heaths (landforms),an upland moor or sandy area dominated by low shrubby vegetation including heather,V,V.HTH
MDW,meadow,http://www.wikidata.org/entity/Q7777019,meadow,http://vocab.getty.edu/aat/300008876,meadows,"a small, poorly drained area dominated by grassy vegetation",V,V.MDW
OCH,orchard(s),http://www.wikidata.org/entity/Q236371,orchard,http://vocab.getty.edu/aat/300008890,orchards,a planting of fruit or nut trees,V,V.OCH
SCRB,scrubland,http://www.wikidata.org/entity/Q879641,shrubland,http://vocab.getty.edu/aat/300386891,scrublands,"an area of low trees, bushes, and shrubs stunted by some environmental limitation",V,V.SCRB
TREE,tree(s),http://www.wikidata.org/entity/Q10884,tree,,,a conspicuous tree used as a landmark,V,V.TREE
TUND,tundra,http://www.wikidata.org/entity/Q43262,tundra,http://vocab.getty.edu/aat/300008921,tundras,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions",V,V.TUND
VIN,vineyard,http://www.wikidata.org/entity/Q22715,vineyard,http://vocab.getty.edu/aat/300000248,vineyards,a planting of grapevines,V,V.VIN
VINS,vineyards,http://www.wikidata.org/entity/Q22715,vineyard,http://vocab.getty.edu/aat/300000248,vineyards,plantings of grapevines,V,V.VINS
